dialog_idx,turn_idx,image_filename,prompt,generation_time_sec,timestamp
0,0,0_0.jpg,a bedroom is filled with lots of posters and a busy computer desk,0.0004,2026-07-24 17:44:57
0,1,0_1.jpg,"a vibrant bedroom filled with colorful posters and a busy computer desk, with various items on the desk and a computer monitor in the background.",0.0001,2026-07-24 17:44:57
0,2,0_2.jpg,"a bedroom with a colorful and cluttered atmosphere, filled with various posters and a busy computer desk, taken in a casual and informal setting.",0.0001,2026-07-24 17:44:57
0,3,0_3.jpg,"a bedroom with a cluttered computer desk, filled with posters, in a dimly lit environment.",0.0001,2026-07-24 17:44:57
0,4,0_4.jpg,"a bedroom with a cluttered computer desk, filled with posters, in a dimly lit room without daylight, with no windows visible.",0.0001,2026-07-24 17:44:57
0,5,0_5.jpg,"a bedroom with a cluttered computer desk, numerous posters on the walls, and a well-lit space, resembling an adult's bedroom, without any visible windows.",0.0001,2026-07-24 17:44:57
0,6,0_6.jpg,"a bedroom with a cluttered computer desk, filled with posters, and a messy appearance, with no windows, suggesting it might be an adult's bedroom, and not well lit or clean.",0.0001,2026-07-24 17:44:57
0,7,0_7.jpg,"a bedroom with a cluttered computer desk, filled with posters, and a messy appearance, with no indication of daytime or windows, possibly an adults bedroom, and no clear identification of the computer type.",0.0001,2026-07-24 17:44:57
0,8,0_8.jpg,"a bedroom with a busy computer desk, filled with posters, and a flat screen computer, with a somewhat cluttered appearance, possibly an adults bedroom, but not well lit and no windows visible.",0.0001,2026-07-24 17:44:57
0,9,0_9.jpg,"a bedroom with a messy computer desk, filled with posters and a flat screen computer, with a bedroom-like appearance, but not clean, made of cheap plastic.",0.0001,2026-07-24 17:44:57
0,10,0_10.jpg,"a bedroom with a busy computer desk, filled with posters, and a flat screen computer, with a computer chair, made of cheap plastic, in a room that is not well lit and appears to be a mix of an adults bedroom, with a somewhat messy and unclean environment.",0.0001,2026-07-24 17:44:57
1,0,1_0.jpg,a woman sits on a bench holding a guitar in her lap,0.0001,2026-07-24 17:44:57
1,1,1_1.jpg,"a woman sitting on a bench in a park, holding a guitar in her lap.",0.0001,2026-07-24 17:44:57
1,2,1_2.jpg,"a woman sitting alone on a bench in a park, holding a guitar in her lap.",0.0001,2026-07-24 17:44:57
1,3,1_3.jpg,"a woman sitting alone on a bench in a park, holding a guitar in her lap without a collection bucket.",0.0001,2026-07-24 17:44:57
1,4,1_4.jpg,"a woman with pretty long hair sits alone on a bench in a park, holding a guitar in her lap without a collection bucket.",0.0001,2026-07-24 17:44:57
1,5,1_5.jpg,"a woman with pretty long hair sits alone on a bench in a park, holding a guitar in her lap without a collection bucket, with her hair and attire being hard to determine.",0.0001,2026-07-24 17:44:57
1,6,1_6.jpg,"a woman with pretty long hair sits alone on a bench in a park, holding a guitar in her lap, wearing flip flops, with no collection bucket or dress, and no others around.",0.0001,2026-07-24 17:44:57
1,7,1_7.jpg,"a woman with pretty long hair sits alone on a grassy bench in a park, holding a guitar in her lap without a collection bucket, wearing flip flops, with grass nearby.",0.0001,2026-07-24 17:44:57
1,8,1_8.jpg,"a woman with pretty long hair sits alone on a grassy bench in a park on a sunny day, holding a guitar in her lap without a collection bucket, wearing flip flops, with no others around.",0.0001,2026-07-24 17:44:57
1,9,1_9.jpg,"a woman with pretty long hair sits alone on a grassy bench in a park on a sunny day, holding a guitar in her lap without a collection bucket, wearing flip flops, with trees in the background.",0.0001,2026-07-24 17:44:57
1,10,1_10.jpg,"a woman with pretty long hair sits alone on a grassy bench in a park on a sunny day, holding a guitar in her lap without a collection bucket, wearing flip flops, with trees in the background, with a slightly worn guitar.",0.0001,2026-07-24 17:44:57
2,0,2_0.jpg,a black and white photo of a man with glasses and dark short trunks stands in front of a mirror looking down at the sink,0.0001,2026-07-24 17:44:57
2,1,2_1.jpg,"a man wearing glasses and dark short trunks standing in front of a mirror in a bathroom, looking down at the sink.",0.0001,2026-07-24 17:44:57
2,2,2_2.jpg,"a man with glasses and dark short trunks standing in front of a mirror in the bathroom, looking down at the sink with a puzzled expression.",0.0001,2026-07-24 17:44:57
2,3,2_3.jpg,"A man in glasses and dark short trunks, aged between 18 and 25, stands in front of a mirror in the bathroom, looking puzzled at the sink.",0.0001,2026-07-24 17:44:57
2,4,2_4.jpg,"A man in dark short trunks and glasses, aged between 18 and 25, stands in front of a mirror in a bathroom, looking puzzled and down at the sink.",0.0001,2026-07-24 17:44:57
2,5,2_5.jpg,"A man in glasses and dark short trunks, aged between 18 and 25, stands in front of a mirror in a bathroom, looking down at the sink with a puzzled expression, as if he had drunk too much the previous night and is unsure of his location. The bathroom appears to be minimalistic, with only a mirror and a part of the sink visible.",0.0001,2026-07-24 17:44:57
2,6,2_6.jpg,"a man in glasses and dark short trunks, aged between 18 and 25, standing in front of a mirror in a bathroom, looking puzzled and down at the sink, without a beard, in a partially visible bathroom.",0.0001,2026-07-24 17:44:57
2,7,2_7.jpg,"a man in glasses and dark short trunks, aged between 18 and 25, standing in front of a mirror in a bathroom, looking puzzled and down at the sink, without a beard or shirt, in a partially visible bathroom.",0.0001,2026-07-24 17:44:57
2,8,2_8.jpg,"a man in glasses and dark short trunks, aged between 18 and 25, standing in front of a mirror in a bathroom, looking puzzled and down at the sink, without a beard, wearing glasses, and wearing no shirt.",0.0001,2026-07-24 17:44:57
2,9,2_9.jpg,"A man in glasses and dark short trunks, aged between 18 and 25, stands in front of a mirror in a bathroom, looking puzzled and down at the sink, without a beard or a watch, wearing only a shirt.",0.0001,2026-07-24 17:44:57
2,10,2_10.jpg,"A man in glasses and dark short trunks, aged between 18 and 25, stands in front of a mirror in a bathroom, looking puzzled and down at the sink, with no visible tattoos or watch, and wearing only a shirt.",0.0001,2026-07-24 17:44:57
3,0,3_0.jpg,a woman feeding a large black and white bird,0.0001,2026-07-24 17:44:57
3,1,3_1.jpg,"a woman in color, feeding a large black and white bird.",0.0001,2026-07-24 17:44:57
3,2,3_2.jpg,"a woman in her late 20's to early 30's, dressed in casual attire, feeds a large black and white bird in a natural setting.",0.0002,2026-07-24 17:44:57
3,3,3_3.jpg,"a woman in her late 20's to early 30's feeds a large black and white bird, with no other people present in the scene.",0.0001,2026-07-24 17:44:57
3,4,3_4.jpg,"a woman in her late 20's to early 30's feeds a large black and white bird, with no other people or animals present in the image.",0.0001,2026-07-24 17:44:57
3,5,3_5.jpg,"a woman in her late 20's to early 30's feeds a large black and white bird, possibly a pigeon or a sparrow, with a small rodent-like food item.",0.0001,2026-07-24 17:44:57
3,6,3_6.jpg,"a woman in her late 20's to early 30's, wearing a hat, feeding a large black and white bird, with no other people or animals in the scene.",0.0001,2026-07-24 17:44:57
3,7,3_7.jpg,"a woman in her late 20's to early 30's, wearing a mauve shirt and a hat, feeding a large black and white bird, with no other people or animals around.",0.0001,2026-07-24 17:44:57
3,8,3_8.jpg,"a woman in a mauve shirt and blonde hat feeds a large black and white bird, possibly a small rodent, in a colorful image, with the woman appearing to be in her late 20's to early 30's.",0.0001,2026-07-24 17:44:57
3,9,3_9.jpg,"a woman in a mauve shirt and a blonde hat feeds a large black and white bird with a white ring around its neck, possibly a small rodent, in a colorful image.",0.0001,2026-07-24 17:44:57
3,10,3_10.jpg,"a woman in a mauve shirt and blonde hat feeds a large black and white bird with a white ring around its neck, possibly a small rodent, in a zoo setting with trees in the background.",0.0001,2026-07-24 17:44:57
4,0,4_0.jpg,a couple sharing a knife to cut a large cake,0.0001,2026-07-24 17:44:57
4,1,4_1.jpg,"a couple in color, sharing a knife to cut a large cake.",0.0001,2026-07-24 17:44:57
4,2,4_2.jpg,"a couple cutting a large cake together in a wedding setting, with the cake placed on a table and the couple using a knife to cut it.",0.0001,2026-07-24 17:44:57
4,3,4_3.jpg,"a couple, one male and one female, cutting a large cake together in a wedding setting.",0.0001,2026-07-24 17:44:57
4,4,4_4.jpg,"a couple, one male and one female, sharing a knife to cut a large, single-tier cake in a colorful wedding picture.",0.0001,2026-07-24 17:44:57
4,5,4_5.jpg,"a couple, possibly at their wedding, sharing a knife to cut a large cake in color, with no other people visible in the background.",0.0001,2026-07-24 17:44:57
4,6,4_6.jpg,"a couple, one male and one female, sharing a knife to cut a large cake inside a building, possibly during a wedding celebration.",0.0001,2026-07-24 17:44:57
4,7,4_7.jpg,"a couple, one male and one female, sharing a knife to cut a large white cake with blue lettering, in a wedding setting, inside a room.",0.0001,2026-07-24 17:44:57
4,8,4_8.jpg,"a couple, one male and one female, sharing a knife to cut a large white cake with blue lettering, in a wedding setting, inside a room, with no other people visible.",0.0001,2026-07-24 17:44:57
4,9,4_9.jpg,"a couple sharing a knife to cut a large white cake with blue lettering, possibly for a wedding, inside a room, with no other people or decorations visible.",0.0001,2026-07-24 17:44:57
4,10,4_10.jpg,"a couple sharing a knife to cut a large white cake with blue lettering, possibly for a wedding, with no other people or decorations visible, and no plates.",0.0001,2026-07-24 17:44:57
5,0,5_0.jpg,a woman swinging at a tennis ball on the court,0.0001,2026-07-24 17:44:57
